,before,special_price,after,name,capcity_GB,RAM,processer,Colour,model,meta_keyword
120,1099,849.0,738.2609,هواوي) واي),‎سعة 128 جيجابايت‎,‎8 جيجابايت رام‎,‎ميدياتك هيليو G80‎‎,‎ فضي سبيس‎,Y9a,"هواوي,هواوي) واي),51096JDL,سعة 128 جيجابايت, فضي سبيس,4G LTE,ابل ايفون, سامسونج جالكسي, هواوي, شاومي, مكتبة جرير، تسوق أونلاين، عروض، خصائص، مواصفات, اوبو,فيفو,نوكيا,هاتف ذكي"
121,1199,949.0,825.2174,(Huawei) nova,‎سعة 128 جيجابايت‎,‎8 جيجابايت رام‎,‎كوالكوم سناب دراغون 680 6 nm‎,‎الكريستال الازرق‎,‎نوفا 9 SE‎,"هواوي,هواوي) نوفا),51096XGM,سعة 128 جيجابايت,الكريستال الازرق,4G LTE,ابل ايفون, سامسونج جالكسي, هواوي, شاومي, مكتبة جرير، تسوق أونلاين، عروض، خصائص، مواصفات, اوبو,فيفو,نوكيا,هاتف ذكي"
122,1199,949.0,825.2174,(Huawei) nova,‎سعة 128 جيجابايت‎,‎8 جيجابايت رام‎,‎كوالكوم سناب دراغون 680 6 nm‎,‎أسود منتصف الليل‎,‎نوفا 9 SE‎,"هواوي,هواوي) نوفا),51096XGH,سعة 128 جيجابايت,أسود منتصف الليل,4G LTE,ابل ايفون, سامسونج جالكسي, هواوي, شاومي, مكتبة جرير، تسوق أونلاين، عروض، خصائص، مواصفات, اوبو,فيفو,نوكيا,هاتف ذكي"
123,1199,949.0,825.2174,(Huawei) nova,‎سعة 128 جيجابايت‎,‎8 جيجابايت رام‎,‎كوالكوم سناب دراغون 680 6 nm‎,‎أبيض  لؤلؤي‎,‎نوفا 9 SE‎,"هواوي,هواوي) نوفا),51096XGK,سعة 128 جيجابايت,أبيض لؤلؤي,4G LTE,ابل ايفون, سامسونج جالكسي, هواوي, شاومي, مكتبة جرير، تسوق أونلاين، عروض، خصائص، مواصفات, اوبو,فيفو,نوكيا,هاتف ذكي"
124,1249,1099.0,955.6522,سامسونج) جالكسي ايه),‎سعة 128 جيجابايت‎,‎6 جيجابايت رام‎,‎ اكسينوس‎,‎برتقالي‎,‎جالكسي ايه33‎,"سامسونج,سامسونج) جالكسي ايه),SMA336EZOGMEA,سعة 128 جيجابايت,برتقالي,5G,ابل ايفون, سامسونج جالكسي, هواوي, شاومي, مكتبة جرير، تسوق أونلاين، عروض، خصائص، مواصفات, اوبو,فيفو,نوكيا,هاتف ذكي"
125,1249,1099.0,955.6522,سامسونج) جالكسي ايه),‎سعة 128 جيجابايت‎,‎6 جيجابايت رام‎,‎ اكسينوس‎,‎ ابيض‎,‎جالكسي ايه33‎,"سامسونج,سامسونج) جالكسي ايه),SMA336EZWGMEA,سعة 128 جيجابايت, ابيض,5G,ابل ايفون, سامسونج جالكسي, هواوي, شاومي, مكتبة جرير، تسوق أونلاين، عروض، خصائص، مواصفات, اوبو,فيفو,نوكيا,هاتف ذكي"
126,1249,1099.0,955.6522,سامسونج) جالكسي ايه),‎سعة 128 جيجابايت‎,‎6 جيجابايت رام‎,‎ اكسينوس‎,‎أزرق فاتح‎,‎جالكسي ايه33‎,"سامسونج,سامسونج) جالكسي ايه),SMA336ELBGMEA,سعة 128 جيجابايت,ازرق فاتح,5G,ابل ايفون, سامسونج جالكسي, هواوي, شاومي, مكتبة جرير، تسوق أونلاين، عروض، خصائص، مواصفات, اوبو,فيفو,نوكيا,هاتف ذكي"
127,1249,1099.0,955.6522,سامسونج) جالكسي ايه),‎سعة 128 جيجابايت‎,‎6 جيجابايت رام‎,‎ اكسينوس‎,‎اسود‎,‎جالكسي ايه33‎,"سامسونج,سامسونج) جالكسي ايه),SMA336EZKGMEA,سعة 128 جيجابايت,اسود,5G,ابل ايفون, سامسونج جالكسي, هواوي, شاومي, مكتبة جرير، تسوق أونلاين، عروض، خصائص، مواصفات, اوبو,فيفو,نوكيا,هاتف ذكي"
128,3799,3579.0,3112.1739,آبل) آيفون 13),‎سعة 256 جيجابايت‎,‎5‎G‎,,,‎ايفون 13 ميني‎,"ابل,آبل) آيفون 13),MLJL3AHA,سعة 256 جيجابايت,وردي,5G,ابل ايفون, سامسونج جالكسي, هواوي, شاومي, مكتبة جرير، تسوق أونلاين، عروض، خصائص، مواصفات, اوبو,فيفو,نوكيا,هاتف ذكي"
129,4799,4579.0,3981.7391,آبل) آيفون 13),‎512‎ GB‎,‎5‎G‎,,,‎ايفون 13 ميني‎,"ابل,آبل) آيفون 13),MLJY3AHA,سعة 512 جيجابايت,ازرق,5G,ابل ايفون, سامسونج جالكسي, هواوي, شاومي, مكتبة جرير، تسوق أونلاين، عروض، خصائص، مواصفات, اوبو,فيفو,نوكيا,هاتف ذكي"
130,2799,2579.0,2242.6087,آبل) ايفون 12),‎64‎ GB‎,‎5‎G‎,‎ ابيض‎,,‎ايفون 12 ميني‎,"ابل,آبل) ايفون 12),MGDY3AAA,64 GB, ابيض,5G,ابل ايفون, سامسونج جالكسي, هواوي, شاومي, مكتبة جرير، تسوق أونلاين، عروض، خصائص، مواصفات, اوبو,فيفو,نوكيا,هاتف ذكي"
131,4799,4579.0,3981.7391,آبل) آيفون 13),‎512‎ GB‎,‎5‎G‎,,,‎ايفون 13 ميني‎,"ابل,آبل) آيفون 13),MLJU3AHA,سعة 512 جيجابايت,وردي,5G,ابل ايفون, سامسونج جالكسي, هواوي, شاومي, مكتبة جرير، تسوق أونلاين، عروض، خصائص، مواصفات, اوبو,فيفو,نوكيا,هاتف ذكي"
132,4799,4579.0,3981.7391,آبل) آيفون 13),‎512‎ GB‎,‎5‎G‎,,,‎ايفون 13 ميني‎,"ابل,آبل) آيفون 13),MNFE3AHA,سعة 512 جيجابايت,اخضر,5G,ابل ايفون, سامسونج جالكسي, هواوي, شاومي, مكتبة جرير، تسوق أونلاين، عروض، خصائص، مواصفات, اوبو,فيفو,نوكيا,هاتف ذكي"
133,4799,4579.0,3981.7391,آبل) آيفون 13),‎512‎ GB‎,‎5‎G‎,,,‎ايفون 13 ميني‎,"ابل,آبل) آيفون 13),MLJR3AHA,سعة 512 جيجابايت,لون ضوء النجوم,5G,ابل ايفون, سامسونج جالكسي, هواوي, شاومي, مكتبة جرير، تسوق أونلاين، عروض، خصائص، مواصفات, اوبو,فيفو,نوكيا,هاتف ذكي"
134,4799,4579.0,3981.7391,آبل) آيفون 13),‎512‎ GB‎,‎5‎G‎,,,‎ايفون 13 ميني‎,"ابل,آبل) آيفون 13),MLJW3AHA,سعة 512 جيجابايت,أحمر,5G,ابل ايفون, سامسونج جالكسي, هواوي, شاومي, مكتبة جرير، تسوق أونلاين، عروض، خصائص، مواصفات, اوبو,فيفو,نوكيا,هاتف ذكي"
135,3799,3579.0,3112.1739,آبل) آيفون 13),‎سعة 256 جيجابايت‎,‎5‎G‎,‎ازرق‎,,‎ايفون 13 ميني‎,"ابل,آبل) آيفون 13),MLJN3AHA,سعة 256 جيجابايت,ازرق,5G,ابل ايفون, سامسونج جالكسي, هواوي, شاومي, مكتبة جرير، تسوق أونلاين، عروض، خصائص، مواصفات, اوبو,فيفو,نوكيا,هاتف ذكي"
136,1999,1799.0,1564.3478,أوبو رينو,‎سعة 256 جيجابايت‎,‎8 جيجابايت رام‎,‎ميدياتك ديمنستي 900‎,‎أسود‎,‎رينو 7‎,"أوبو,أوبو رينو,CPH2371BLK,سعة 256 جيجابايت,أسود,5G,ابل ايفون, سامسونج جالكسي, هواوي, شاومي, مكتبة جرير، تسوق أونلاين، عروض، خصائص، مواصفات, اوبو,فيفو,نوكيا,هاتف ذكي"
137,1699,1499.0,1303.4783,موتورولا) ايدج),‎سعة 256 جيجابايت‎,‎8 جيجابايت رام‎,‎كوالكوم سناب دراغون 778 جي‎,‎Meteor Grey‎,‎ادج 30‎,"موتورولا,موتورولا) ايدج),PAUC0038AE,سعة 256 جيجابايت,,5G,ابل ايفون, سامسونج جالكسي, هواوي, شاومي, مكتبة جرير، تسوق أونلاين، عروض، خصائص، مواصفات, اوبو,فيفو,نوكيا,هاتف ذكي"
138,1999,1799.0,1564.3478,أوبو رينو,‎سعة 256 جيجابايت‎,‎8 جيجابايت رام‎,‎ميدياتك ديمنستي 900‎,‎أزرق استارترايلس‎,‎رينو 7‎,"أوبو,أوبو رينو,CPH2371BLU,سعة 256 جيجابايت,أزرق استارترايلس,5G,ابل ايفون, سامسونج جالكسي, هواوي, شاومي, مكتبة جرير، تسوق أونلاين، عروض، خصائص، مواصفات, اوبو,فيفو,نوكيا,هاتف ذكي"
139,1699,1499.0,1303.4783,موتورولا) ايدج),‎سعة 256 جيجابايت‎,‎8 جيجابايت رام‎,‎كوالكوم سناب دراغون 778 جي‎,‎أخضر أورورا‎,‎ادج 30‎,"موتورولا,موتورولا) ايدج),PAUC0045AE,سعة 256 جيجابايت,أخضر أورورا,5G,ابل ايفون, سامسونج جالكسي, هواوي, شاومي, مكتبة جرير، تسوق أونلاين، عروض، خصائص، مواصفات, اوبو,فيفو,نوكيا,هاتف ذكي"
140,1699,1499.0,1303.4783,موتورولا) ايدج),‎سعة 128 جيجابايت‎,‎8 جيجابايت رام‎,‎بلوري رمادي‎,,‎ادج 20‎,"موتورولا,موتورولا) ايدج),PAR00051AE,سعة 128 جيجابايت,بلوري رمادي,5G,ابل ايفون, سامسونج جالكسي, هواوي, شاومي, مكتبة جرير، تسوق أونلاين، عروض، خصائص، مواصفات, اوبو,فيفو,نوكيا,هاتف ذكي"
141,1699,1499.0,1303.4783,موتورولا) ايدج),‎سعة 128 جيجابايت‎,‎8 جيجابايت رام‎,‎بلوري أبيض‎,,‎ادج 20‎,"موتورولا,موتورولا) ايدج),PAR00052AE,سعة 128 جيجابايت,بلوري أبيض,5G,ابل ايفون, سامسونج جالكسي, هواوي, شاومي, مكتبة جرير، تسوق أونلاين، عروض، خصائص، مواصفات, اوبو,فيفو,نوكيا,هاتف ذكي"
142,899,699.0,607.8261,موتورولا) موتو جي),‎سعة 128 جيجابايت‎,‎6 جيجابايت رام‎,‎كوالكوم سناب دراغون 680‎,‎لون روز معدني‎,‎موتو جي 42‎,"موتورولا,موتورولا) موتو جي),PAU00013AE,سعة 128 جيجابايت,لون روز معدني,4G LTE,ابل ايفون, سامسونج جالكسي, هواوي, شاومي, مكتبة جرير، تسوق أونلاين، عروض، خصائص، مواصفات, اوبو,فيفو,نوكيا,هاتف ذكي"
143,899,699.0,607.8261,موتورولا) موتو جي),‎سعة 128 جيجابايت‎,‎6 جيجابايت رام‎,‎كوالكوم سناب دراغون 680‎,‎لون الاخضر الاطلسي‎,‎موتو جي 42‎,"موتورولا,موتورولا) موتو جي),PAU00018AE,سعة 128 جيجابايت,,4G LTE,ابل ايفون, سامسونج جالكسي, هواوي, شاومي, مكتبة جرير، تسوق أونلاين، عروض، خصائص، مواصفات, اوبو,فيفو,نوكيا,هاتف ذكي"
144,1199,999.0,868.6957,لا ينطبق,‎سعة 128 جيجابايت‎,‎6 جيجابايت رام‎,‎ميدياتك ديمنستي 720 ‎5‎G‎,‎لون معدن الاسلحة الكهربائية‎,‎ادج 20 لايت 5 جي‎,"موتورولا,لا ينطبق,PANE0071SA,سعة 128 جيجابايت,لون معدن الاسلحة الكهربائية,5G,ابل ايفون, سامسونج جالكسي, هواوي, شاومي, مكتبة جرير، تسوق أونلاين، عروض، خصائص، مواصفات, اوبو,فيفو,نوكيا,هاتف ذكي"
145,1199,999.0,868.6957,موتورولا) موتو جي),‎سعة 128 جيجابايت‎,‎6 جيجابايت رام‎,‎كوالكوم سناب دراغون 695‎,‎رمادي نيزكي‎,‎موتو جي 82‎,"موتورولا,موتورولا) موتو جي),PAUA0019AE,سعة 128 جيجابايت,رمادي نيزكي,5G,ابل ايفون, سامسونج جالكسي, هواوي, شاومي, مكتبة جرير، تسوق أونلاين، عروض، خصائص، مواصفات, اوبو,فيفو,نوكيا,هاتف ذكي"
146,1199,999.0,868.6957,موتورولا) موتو جي),‎سعة 128 جيجابايت‎,‎6 جيجابايت رام‎,‎كوالكوم سناب دراغون 695‎,‎White Lily‎,‎موتو جي 82‎,"موتورولا,موتورولا) موتو جي),PAUA0049AE,سعة 128 جيجابايت,,5G,ابل ايفون, سامسونج جالكسي, هواوي, شاومي, مكتبة جرير، تسوق أونلاين، عروض، خصائص، مواصفات, اوبو,فيفو,نوكيا,هاتف ذكي"
147,1899,1799.0,1564.3478,سامسونج) جالكسي ايه),‎سعة 128 جيجابايت‎,‎8 جيجابايت رام‎,‎كوالكوم سناب دراغون 778 جي‎,‎ ابيض‎,‎جالكسي ايه73‎,"سامسونج,سامسونج) جالكسي ايه),SMA736BZWGMEA,سعة 128 جيجابايت, ابيض,5G,ابل ايفون, سامسونج جالكسي, هواوي, شاومي, مكتبة جرير، تسوق أونلاين، عروض، خصائص، مواصفات, اوبو,فيفو,نوكيا,هاتف ذكي"
148,1899,1799.0,1564.3478,سامسونج) جالكسي ايه),‎سعة 128 جيجابايت‎,‎8 جيجابايت رام‎,‎كوالكوم سناب دراغون 778 جي‎,‎رمادي‎,‎جالكسي ايه73‎,"سامسونج,سامسونج) جالكسي ايه),SMA736BZAGMEA,سعة 128 جيجابايت,رمادي,5G,ابل ايفون, سامسونج جالكسي, هواوي, شاومي, مكتبة جرير، تسوق أونلاين، عروض، خصائص، مواصفات, اوبو,فيفو,نوكيا,هاتف ذكي"
149,1899,1799.0,1564.3478,سامسونج) جالكسي ايه),‎سعة 128 جيجابايت‎,‎8 جيجابايت رام‎,‎كوالكوم سناب دراغون 778 جي‎,‎أخضر فاتح‎,‎جالكسي ايه73‎,"سامسونج,سامسونج) جالكسي ايه),SMA736BLGGMEA,سعة 128 جيجابايت,اخضر فاتح,5G,ابل ايفون, سامسونج جالكسي, هواوي, شاومي, مكتبة جرير، تسوق أونلاين، عروض، خصائص، مواصفات, اوبو,فيفو,نوكيا,هاتف ذكي"
150,699,529.0,460.0,(WIKO) T,‎سعة 128 جيجابايت‎,‎4 جيجابايت رام‎,‎MTK6765‎ ميدياتك‎,‎أسود كلاسيكي‎,T3,"WIKO,,F22DDS1132007,سعة 128 جيجابايت,أسود كلاسيكي,4G LTE,ابل ايفون, سامسونج جالكسي, هواوي, شاومي, مكتبة جرير، تسوق أونلاين، عروض، خصائص، مواصفات, اوبو,فيفو,نوكيا,هاتف ذكي"
151,699,529.0,460.0,(WIKO) T,‎سعة 128 جيجابايت‎,‎4 جيجابايت رام‎,‎MTK6765‎ ميدياتك‎,‎ذهب أنيق‎,T3,"WIKO,,F22DDS1072007,سعة 128 جيجابايت,,4G LTE,ابل ايفون, سامسونج جالكسي, هواوي, شاومي, مكتبة جرير، تسوق أونلاين، عروض، خصائص، مواصفات, اوبو,فيفو,نوكيا,هاتف ذكي"
152,1249,1099.0,955.6522,سامسونج) جالكسي ايه),‎سعة 128 جيجابايت‎,‎8 جيجابايت رام‎,‎اسود‎,,‎جالكسي ايه52 4 جي‎,"سامسونج,سامسونج) جالكسي ايه),SMA525FZKHMEA,سعة 128 جيجابايت,اسود,4G LTE,ابل ايفون, سامسونج جالكسي, هواوي, شاومي, مكتبة جرير، تسوق أونلاين، عروض، خصائص، مواصفات, اوبو,فيفو,نوكيا,هاتف ذكي"
153,1249,1099.0,955.6522,سامسونج) جالكسي ايه),‎سعة 128 جيجابايت‎,‎8 جيجابايت رام‎,‎ازرق‎,,‎جالكسي ايه52 4 جي‎,"سامسونج,سامسونج) جالكسي ايه),SMA525FZBHMEA,سعة 128 جيجابايت,ازرق,4G LTE,ابل ايفون, سامسونج جالكسي, هواوي, شاومي, مكتبة جرير، تسوق أونلاين، عروض، خصائص، مواصفات, اوبو,فيفو,نوكيا,هاتف ذكي"
154,1249,1099.0,955.6522,سامسونج) جالكسي ايه),‎سعة 128 جيجابايت‎,‎8 جيجابايت رام‎,‎ ابيض‎,,‎جالكسي ايه52 4 جي‎,"سامسونج,سامسونج) جالكسي ايه),SMA525FZWHMEA,سعة 128 جيجابايت, ابيض,4G LTE,ابل ايفون, سامسونج جالكسي, هواوي, شاومي, مكتبة جرير، تسوق أونلاين، عروض، خصائص، مواصفات, اوبو,فيفو,نوكيا,هاتف ذكي"
155,1249,1099.0,955.6522,سامسونج) جالكسي ايه),‎سعة 128 جيجابايت‎,‎8 جيجابايت رام‎,‎بنفسجي‎,,‎جالكسي ايه52 4 جي‎,"سامسونج,سامسونج) جالكسي ايه),SMA525FLVHMEA,سعة 128 جيجابايت,بنفسجي,4G LTE,ابل ايفون, سامسونج جالكسي, هواوي, شاومي, مكتبة جرير، تسوق أونلاين، عروض، خصائص، مواصفات, اوبو,فيفو,نوكيا,هاتف ذكي"
156,2799,2649.0,2303.4783,آبل آيفون اس اي,‎سعة 256 جيجابايت‎,‎5‎G‎,‎لون سماء الليل‎,,‎آيفون اس اي الاصدار 3‎,"ابل,آبل آيفون اس اي,MMXC3AHA,سعة 256 جيجابايت,لون سماء الليل,5G,ابل ايفون, سامسونج جالكسي, هواوي, شاومي, مكتبة جرير، تسوق أونلاين، عروض، خصائص، مواصفات, اوبو,فيفو,نوكيا,هاتف ذكي"
157,2799,2649.0,2303.4783,آبل آيفون اس اي,‎سعة 256 جيجابايت‎,‎5‎G‎,,,‎آيفون اس اي الاصدار 3‎,"ابل,آبل آيفون اس اي,MMXD3AHA,سعة 256 جيجابايت,لون ضوء النجوم,5G,ابل ايفون, سامسونج جالكسي, هواوي, شاومي, مكتبة جرير، تسوق أونلاين، عروض، خصائص، مواصفات, اوبو,فيفو,نوكيا,هاتف ذكي"
158,749,599.0,520.8696,لينوفو سلسلة كي,‎سعة 128 جيجابايت‎,‎4 جيجابايت رام‎,‎MediaTek Helio G37‎‎,‎Iceberg Blue‎,‎K15‎ بلاس‎,"لينوفو,لينوفو سلسلة كي,PAU40004AE,سعة 128 جيجابايت,,4G LTE,ابل ايفون, سامسونج جالكسي, هواوي, شاومي, مكتبة جرير، تسوق أونلاين، عروض، خصائص، مواصفات, اوبو,فيفو,نوكيا,هاتف ذكي"
159,2799,2649.0,2303.4783,آبل آيفون اس اي,‎سعة 256 جيجابايت‎,‎5‎G‎,‎أحمر‎,,‎آيفون اس اي الاصدار 3‎,"ابل,آبل آيفون اس اي,MMXE3AHA,سعة 256 جيجابايت,أحمر,5G,ابل ايفون, سامسونج جالكسي, هواوي, شاومي, مكتبة جرير، تسوق أونلاين، عروض، خصائص، مواصفات, اوبو,فيفو,نوكيا,هاتف ذكي"
160,749,599.0,520.8696,لينوفو سلسلة كي,‎سعة 128 جيجابايت‎,‎4 جيجابايت رام‎,‎أسود كوزميك‎,,‎K15‎ بلاس‎,"لينوفو,لينوفو سلسلة كي,PAU40002AE,سعة 128 جيجابايت,أسود كوزميك,4G LTE,ابل ايفون, سامسونج جالكسي, هواوي, شاومي, مكتبة جرير، تسوق أونلاين، عروض، خصائص، مواصفات, اوبو,فيفو,نوكيا,هاتف ذكي"
161,849,699.0,607.8261,موتورولا) موتو جي),‎سعة 128 جيجابايت‎,‎4 جيجابايت رام‎,‎كوالكوم اس دي 4350 برو‎,‎أزرق‎,‎موتو جي 51‎,"موتورولا,موتورولا) موتو جي),PAUD0000SA,سعة 128 جيجابايت,أزرق انديجو,5G,ابل ايفون, سامسونج جالكسي, هواوي, شاومي, مكتبة جرير، تسوق أونلاين، عروض، خصائص، مواصفات, اوبو,فيفو,نوكيا,هاتف ذكي"
162,849,699.0,607.8261,موتورولا) موتو جي),‎سعة 128 جيجابايت‎,‎4 جيجابايت رام‎,‎كوالكوم اس دي 4350 برو‎,‎فضي فاتح‎,‎موتو جي 51‎,"موتورولا,موتورولا) موتو جي),PAUD0001SA,سعة 128 جيجابايت,فضي فاتح,5G,ابل ايفون, سامسونج جالكسي, هواوي, شاومي, مكتبة جرير، تسوق أونلاين، عروض، خصائص، مواصفات, اوبو,فيفو,نوكيا,هاتف ذكي"
163,2299,2199.0,1912.1739,آبل آيفون اس اي,‎سعة 128 جيجابايت‎,‎5‎G‎,,,‎آيفون اس اي الاصدار 3‎,"ابل,آبل آيفون اس اي,MMX83AHA,سعة 128 جيجابايت,لون سماء الليل,5G,ابل ايفون, سامسونج جالكسي, هواوي, شاومي, مكتبة جرير، تسوق أونلاين، عروض، خصائص، مواصفات, اوبو,فيفو,نوكيا,هاتف ذكي"
164,2049,1949.0,1694.7826,آبل آيفون اس اي,‎64‎ GB‎,‎5‎G‎,,,‎آيفون اس اي الاصدار 3‎,"ابل,آبل آيفون اس اي,MMX53AHA,64 GB,لون سماء الليل,5G,ابل ايفون, سامسونج جالكسي, هواوي, شاومي, مكتبة جرير، تسوق أونلاين، عروض، خصائص، مواصفات, اوبو,فيفو,نوكيا,هاتف ذكي"
165,2299,2199.0,1912.1739,آبل آيفون اس اي,‎سعة 128 جيجابايت‎,‎5‎G‎,‎لون ضوء النجوم‎,,‎آيفون اس اي الاصدار 3‎,"ابل,آبل آيفون اس اي,MMX93AHA,سعة 128 جيجابايت,لون ضوء النجوم,5G,ابل ايفون, سامسونج جالكسي, هواوي, شاومي, مكتبة جرير، تسوق أونلاين، عروض، خصائص، مواصفات, اوبو,فيفو,نوكيا,هاتف ذكي"
166,2049,1949.0,1694.7826,آبل آيفون اس اي,‎64‎ GB‎,‎5‎G‎,,,‎آيفون اس اي الاصدار 3‎,"ابل,آبل آيفون اس اي,MMX63AHA,64 GB,لون ضوء النجوم,5G,ابل ايفون, سامسونج جالكسي, هواوي, شاومي, مكتبة جرير، تسوق أونلاين، عروض، خصائص، مواصفات, اوبو,فيفو,نوكيا,هاتف ذكي"
167,949,849.0,738.2609,أوبو ايه,‎سعة 128 جيجابايت‎,‎6 جيجابايت رام‎,‎كوالكوم سناب دراغون 680‎,‎Glowing Blue‎,A76,"أوبو,أوبو ايه,CPH2375BLU,سعة 128 جيجابايت,,4G LTE,ابل ايفون, سامسونج جالكسي, هواوي, شاومي, مكتبة جرير، تسوق أونلاين، عروض، خصائص، مواصفات, اوبو,فيفو,نوكيا,هاتف ذكي"
168,599,499.0,433.913,تي سي ال 10,‎سعة 128 جيجابايت‎,‎4 جيجابايت رام‎,‎ميدياتك هيليو جي 25‎,‎رمادي فلكي‎,30 SE,"تي سي ال,تي سي ال 10,6165H12ALCAV1,سعة 128 جيجابايت,رمادي فلكي,4G LTE,ابل ايفون, سامسونج جالكسي, هواوي, شاومي, مكتبة جرير، تسوق أونلاين، عروض، خصائص، مواصفات, اوبو,فيفو,نوكيا,هاتف ذكي"
169,949,849.0,738.2609,أوبو ايه,‎سعة 128 جيجابايت‎,‎6 جيجابايت رام‎,‎كوالكوم سناب دراغون 680‎,‎Glowing Black‎,A76,"أوبو,أوبو ايه,CPH2375BLK,سعة 128 جيجابايت,,4G LTE,ابل ايفون, سامسونج جالكسي, هواوي, شاومي, مكتبة جرير، تسوق أونلاين، عروض، خصائص، مواصفات, اوبو,فيفو,نوكيا,هاتف ذكي"
170,849,749.0,651.3043,أوبو ايه,‎سعة 128 جيجابايت‎,‎4 جيجابايت رام‎,‎ميدياتك هيليو جي 35‎,‎قوس  قزح الازرق‎,A55,"أوبو,أوبو ايه,CPH2325BLUE,سعة 128 جيجابايت,,4G LTE,ابل ايفون, سامسونج جالكسي, هواوي, شاومي, مكتبة جرير، تسوق أونلاين، عروض، خصائص، مواصفات, اوبو,فيفو,نوكيا,هاتف ذكي"
171,599,499.0,433.913,تي سي ال 10,‎سعة 128 جيجابايت‎,‎4 جيجابايت رام‎,‎ميدياتك هيليو جي 25‎,‎أزرق محيطي‎,30 SE,"تي سي ال,تي سي ال 10,6165H12BLCAV1,سعة 128 جيجابايت,أزرق محيطي,4G LTE,ابل ايفون, سامسونج جالكسي, هواوي, شاومي, مكتبة جرير، تسوق أونلاين، عروض، خصائص، مواصفات, اوبو,فيفو,نوكيا,هاتف ذكي"
172,699,599.0,520.8696,موتورولا) موتو جي),‎سعة 128 جيجابايت‎,‎4 جيجابايت رام‎,‎ميدياتك هيليو G85‎‎,‎ازرق‎,Moto G31,"موتورولا,موتورولا) موتو جي),PASU0030AE,سعة 128 جيجابايت,ازرق,4G LTE,ابل ايفون, سامسونج جالكسي, هواوي, شاومي, مكتبة جرير، تسوق أونلاين، عروض، خصائص، مواصفات, اوبو,فيفو,نوكيا,هاتف ذكي"
173,699,599.0,520.8696,موتورولا) موتو جي),‎سعة 128 جيجابايت‎,‎4 جيجابايت رام‎,‎ميدياتك هيليو G85‎‎,‎رمادي معدني‎,Moto G31,"موتورولا,موتورولا) موتو جي),PASU0010AE,سعة 128 جيجابايت,رمادي معدني,4G LTE,ابل ايفون, سامسونج جالكسي, هواوي, شاومي, مكتبة جرير، تسوق أونلاين، عروض، خصائص، مواصفات, اوبو,فيفو,نوكيا,هاتف ذكي"
174,899,809.0,703.4783,سامسونج) جالكسي ايه),‎سعة 128 جيجابايت‎,‎6 جيجابايت رام‎,‎ميدياتك MT6833‎‎,‎رمادي‎,‎جالكسي ايه22 5 جي‎,"سامسونج,سامسونج) جالكسي ايه),SMA226BZAWMEA,سعة 128 جيجابايت,رمادي,5G,ابل ايفون, سامسونج جالكسي, هواوي, شاومي, مكتبة جرير، تسوق أونلاين، عروض، خصائص، مواصفات, اوبو,فيفو,نوكيا,هاتف ذكي"
175,899,809.0,703.4783,سامسونج) جالكسي ايه),‎سعة 128 جيجابايت‎,‎6 جيجابايت رام‎,‎ميدياتك MT6833‎‎,‎ ابيض‎,‎جالكسي ايه22 5 جي‎,"سامسونج,سامسونج) جالكسي ايه),SMA226BZWWMEA,سعة 128 جيجابايت, ابيض,5G,ابل ايفون, سامسونج جالكسي, هواوي, شاومي, مكتبة جرير، تسوق أونلاين، عروض، خصائص، مواصفات, اوبو,فيفو,نوكيا,هاتف ذكي"
176,775,699.0,607.8261,سامسونج) جالكسي ايه),‎64‎ GB‎,‎4 جيجابايت رام‎,‎ميدياتك MT6833‎‎,‎رمادي‎,‎جالكسي ايه22 5 جي‎,"سامسونج,سامسونج) جالكسي ايه),SMA226BZAUMEA,64 GB,رمادي,5G,ابل ايفون, سامسونج جالكسي, هواوي, شاومي, مكتبة جرير، تسوق أونلاين، عروض، خصائص، مواصفات, اوبو,فيفو,نوكيا,هاتف ذكي"
177,775,699.0,607.8261,سامسونج) جالكسي ايه),‎64‎ GB‎,‎4 جيجابايت رام‎,‎ميدياتك MT6833‎‎,‎بنفسجي فاتح‎,‎جالكسي ايه22 5 جي‎,"سامسونج,سامسونج) جالكسي ايه),SMA226BLVUMEA,64 GB,بنفسجي فاتح,5G,ابل ايفون, سامسونج جالكسي, هواوي, شاومي, مكتبة جرير، تسوق أونلاين، عروض، خصائص، مواصفات, اوبو,فيفو,نوكيا,هاتف ذكي"
178,875,799.0,694.7826,سامسونج) جالكسي ايه),‎سعة 128 جيجابايت‎,‎4 جيجابايت رام‎,‎اسود‎,,‎جالكسي ايه23‎,"سامسونج,سامسونج) جالكسي ايه),SMA235FZKVMEA,سعة 128 جيجابايت,اسود,4G LTE,ابل ايفون, سامسونج جالكسي, هواوي, شاومي, مكتبة جرير، تسوق أونلاين، عروض، خصائص، مواصفات, اوبو,فيفو,نوكيا,هاتف ذكي"
179,875,799.0,694.7826,سامسونج) جالكسي ايه),‎سعة 128 جيجابايت‎,‎4 جيجابايت رام‎,‎ازرق‎,,‎جالكسي ايه23‎,"سامسونج,سامسونج) جالكسي ايه),SMA235FLBVMEA,سعة 128 جيجابايت,ازرق,4G LTE,ابل ايفون, سامسونج جالكسي, هواوي, شاومي, مكتبة جرير، تسوق أونلاين، عروض، خصائص، مواصفات, اوبو,فيفو,نوكيا,هاتف ذكي"
