,before,special_price,after,name,capcity_GB,RAM,processer,Colour,model,meta_keyword
36,3949,3599.0,3129.5652, سامسونج) جالكسي أس),‎سعة 128 جيجابايت‎,‎8 جيجابايت رام‎,‎كوالكوم سناب دراغون 8‎,‎اخضر‎,‎ جالكسي اس 22 بلس‎,"سامسونج, سامسونج) جالكسي أس),SMS906EZGDMEA,سعة 128 جيجابايت,اخضر,5G,ابل ايفون, سامسونج جالكسي, هواوي, شاومي, مكتبة جرير، تسوق أونلاين، عروض، خصائص، مواصفات, اوبو,فيفو,نوكيا,هاتف ذكي"
37,7699,6999.0,6086.087,آبل) آيفون 13),‎سعة 1 تيرا بايت‎,‎5‎G‎,,,‎ ايفون 13 برو ماكس‎,"ابل,آبل) آيفون 13),MLKK3AHA,سعة 1 تيرا بايت,لون أزرق سيريا,5G,ابل ايفون, سامسونج جالكسي, هواوي, شاومي, مكتبة جرير، تسوق أونلاين، عروض، خصائص، مواصفات, اوبو,فيفو,نوكيا,هاتف ذكي"
38,7699,6999.0,6086.087,آبل) آيفون 13),‎سعة 1 تيرا بايت‎,‎5‎G‎,,,‎ ايفون 13 برو ماكس‎,"ابل,آبل) آيفون 13),MLKG3AHA,سعة 1 تيرا بايت,جرافيتي,5G,ابل ايفون, سامسونج جالكسي, هواوي, شاومي, مكتبة جرير، تسوق أونلاين، عروض، خصائص، مواصفات, اوبو,فيفو,نوكيا,هاتف ذكي"
39,7699,6999.0,6086.087,آبل) آيفون 13),‎سعة 1 تيرا بايت‎,‎5‎G‎,,,‎ ايفون 13 برو ماكس‎,"ابل,آبل) آيفون 13),MLKH3AHA,سعة 1 تيرا بايت,فضي,5G,ابل ايفون, سامسونج جالكسي, هواوي, شاومي, مكتبة جرير، تسوق أونلاين، عروض، خصائص، مواصفات, اوبو,فيفو,نوكيا,هاتف ذكي"
40,7699,6999.0,6086.087,آبل) آيفون 13),‎سعة 1 تيرا بايت‎,‎5‎G‎,,,‎ ايفون 13 برو ماكس‎,"ابل,آبل) آيفون 13),MNCX3AHA,سعة 1 تيرا بايت,أخضر صنوبري,5G,ابل ايفون, سامسونج جالكسي, هواوي, شاومي, مكتبة جرير، تسوق أونلاين، عروض، خصائص، مواصفات, اوبو,فيفو,نوكيا,هاتف ذكي"
41,7699,6999.0,6086.087,آبل) آيفون 13),‎سعة 1 تيرا بايت‎,‎5‎G‎,,,‎ ايفون 13 برو ماكس‎,"ابل,آبل) آيفون 13),MLKJ3AHA,سعة 1 تيرا بايت,ذهبي,5G,ابل ايفون, سامسونج جالكسي, هواوي, شاومي, مكتبة جرير، تسوق أونلاين، عروض، خصائص، مواصفات, اوبو,فيفو,نوكيا,هاتف ذكي"
42,1899,1199.0,1042.6087,(Huawei) nova,‎سعة 128 جيجابايت‎,‎8 جيجابايت رام‎,‎كوالكوم سناب دراغون 778 جي‎,‎نجمة ازرق‎,‎نوفا 9‎,"هواوي,هواوي) نوفا),51096UGT,سعة 128 جيجابايت,نجمة ازرق,4G LTE,ابل ايفون, سامسونج جالكسي, هواوي, شاومي, مكتبة جرير، تسوق أونلاين، عروض، خصائص، مواصفات, اوبو,فيفو,نوكيا,هاتف ذكي"
43,1899,1199.0,1042.6087,(Huawei) nova,‎سعة 128 جيجابايت‎,‎8 جيجابايت رام‎,‎كوالكوم سناب دراغون 778 جي‎,‎اسود‎,‎نوفا 9‎,"هواوي,هواوي) نوفا),51096UGV,سعة 128 جيجابايت,اسود,4G LTE,ابل ايفون, سامسونج جالكسي, هواوي, شاومي, مكتبة جرير، تسوق أونلاين، عروض، خصائص، مواصفات, اوبو,فيفو,نوكيا,هاتف ذكي"
44,7199,6599.0,5738.2609,آبل) آيفون 13),‎سعة 1 تيرا بايت‎,‎5‎G‎,,,‎ايفون 13 برو‎,"ابل,آبل) آيفون 13),MLV33AHA,سعة 1 تيرا بايت,فضي,5G,ابل ايفون, سامسونج جالكسي, هواوي, شاومي, مكتبة جرير، تسوق أونلاين، عروض، خصائص، مواصفات, اوبو,فيفو,نوكيا,هاتف ذكي"
45,7199,6599.0,5738.2609,آبل) آيفون 13),‎سعة 1 تيرا بايت‎,‎5‎G‎,,,‎ايفون 13 برو‎,"ابل,آبل) آيفون 13),MLV43AHA,سعة 1 تيرا بايت,ذهبي,5G,ابل ايفون, سامسونج جالكسي, هواوي, شاومي, مكتبة جرير، تسوق أونلاين، عروض، خصائص، مواصفات, اوبو,فيفو,نوكيا,هاتف ذكي"
